,Date,Time,Signal(dBm),Noise(dBm),Channel,Mode,SSID,BSSID,Frequency (GHz)
3212,5/10/2023 13:34:56,1696512896,-79,-82,6, b/g/n,[Hidden SSID] ,86-45-58-21-00-17,
3216,5/10/2023 13:34:56,1696512896,-85,-92,132, ac,NC Admin ,D8-38-FC-5F-13-6C,
3305,5/10/2023 13:34:56,1696512896,-83,-93,48, ac,HA Staff ,82-45-58-22-14-96,
3347,5/10/2023 13:34:56,1696512896,-76,-94,40, ac,HA Staff ,26-5A-4C-A5-79-FE,
3376,5/10/2023 13:34:56,1696512896,-89,-94,100, ac,[Hidden SSID] ,08-CC-68-B4-5F-DA,
3403,5/10/2023 13:34:56,1696512896,-82,-80,6, b/g/n,Warrane Staff ,78-45-58-1D-FF-F6,
3445,5/10/2023 13:34:56,1696512896,-89,-96,36, ac,[Hidden SSID] ,8E-45-58-1E-EA-02,
3477,5/10/2023 13:34:56,1696512896,-81,-82,1, b/g/n,HA Staff ,7E-45-58-21-06-91,
3647,5/10/2023 13:34:56,1696512896,-83,-86,1, b/g/n,Warrane Guest ,82-45-58-21-05-35,
3740,5/10/2023 13:34:56,1696512896,-83,-94,44, ac,[Hidden SSID] ,8A-45-58-22-19-76,
3916,5/10/2023 13:34:56,1696512896,-87,-95,52, ac,Superloop-New College ,D8-38-FC-0B-22-EC,
4124,5/10/2023 13:34:56,1696512896,-83,-95,60, a/n,[Hidden SSID] ,88-DC-96-03-47-70,
4140,5/10/2023 13:34:56,1696512896,-72,-85,6, b/g/n,Warrane Guest ,82-45-58-21-14-96,
4156,5/10/2023 13:34:56,1696512896,-80,-95,52, ac,eduroam ,A8-9D-21-5F-51-FE,
4472,5/10/2023 13:34:56,1696512896,-91,-94,64, ac,eduroam ,1C-E6-C7-3E-60-C6,
4481,5/10/2023 13:34:56,1696512896,-89,-94,40, ac,HA Staff ,82-45-58-22-14-9A,
4483,5/10/2023 13:34:56,1696512896,-84,-86,1, b/g/n,HA Staff ,7E-45-58-21-05-35,
4505,5/10/2023 13:34:56,1696512896,-71,-82,1, g/n,eduroam ,A8-9D-21-5C-C2-F0,
4597,5/10/2023 13:34:56,1696512896,-84,-95,100, ac,[Hidden SSID] ,A8-9D-21-5F-4C-9B,
4609,5/10/2023 13:34:56,1696512896,-84,-82,1, g/n,[Hidden SSID] ,02-92-BF-CD-73-82,
4644,5/10/2023 13:34:56,1696512896,-71,-82,1, g/n,Global_Students ,A8-9D-21-5C-C2-F4,
4717,5/10/2023 13:34:56,1696512896,-74,-95,40, ac,[Hidden SSID] ,8A-45-58-22-00-17,
4725,5/10/2023 13:34:56,1696512896,-83,-82,1, g/n,[Hidden SSID] ,8A-45-58-21-0C-E6,
4761,5/10/2023 13:34:56,1696512896,-73,-83,6, g/n,[Hidden SSID] ,A8-9D-21-5F-51-F5,
4831,5/10/2023 13:34:56,1696512896,-83,-82,6, g/n,[Hidden SSID] ,86-45-58-1D-F6-EF,
4850,5/10/2023 13:34:56,1696512896,-76,-83,3, ax,homenet ,5C-A6-E6-46-FF-53,
4982,5/10/2023 13:34:56,1696512896,-90,-95,132, ac,Global_Students ,D0-72-DC-53-63-3D,
5025,5/10/2023 13:34:56,1696512896,-87,-96,52, ac,SDN-Staff ,FE-9E-38-70-B4-5F,
5162,5/10/2023 13:34:56,1696512896,-88,-95,100, ac,eduroam ,08-CC-68-B4-5F-DF,
5199,5/10/2023 13:34:56,1696512896,-83,-82,1, b/g/n,Warrane Staff ,78-45-58-21-06-91,
5271,5/10/2023 13:34:56,1696512896,-79,-81,6, b/g/n,HA Staff ,7E-45-58-1D-FF-F6,
5287,5/10/2023 13:34:56,1696512896,-79,-95,100, ac,UNSW Guest ,08-CC-68-B4-AF-4C,
5377,5/10/2023 13:34:56,1696512896,-89,-95,100, ac,Global_Students ,08-CC-68-B4-5F-DB,
5386,5/10/2023 13:34:56,1696512896,-69,-80,6, b/g/n,[Hidden SSID] ,86-45-58-21-19-9E,
5520,5/10/2023 13:34:56,1696512896,-83,-82,6, b/g/n,[Hidden SSID] ,86-45-58-1D-FE-05,
5601,5/10/2023 13:34:56,1696512896,-78,-80,8, ax,WiFi-C2FFEE ,1C-61-B4-C2-FF-EE,
5848,5/10/2023 13:34:56,1696512896,-87,-95,44, ac,[Hidden SSID] ,A0-0F-37-4C-09-EA,
5880,5/10/2023 13:34:56,1696512896,-79,-83,6, b/g/n,Warrane Staff ,78-45-58-21-14-96,
5954,5/10/2023 13:34:56,1696512896,-81,-96,52, ac,[Hidden SSID] ,A8-9D-21-5F-51-FB,
5964,5/10/2023 13:34:56,1696512896,-92,-95,64, ac,Global_Students ,1C-E6-C7-3E-60-C5,
6133,5/10/2023 13:34:56,1696512896,-85,-86,1, b/g/n,Warrane Guest ,82-45-58-21-19-4A,
6237,5/10/2023 13:34:56,1696512896,-87,-95,157, ac,uniwide ,1C-E6-C7-5B-89-37,
6343,5/10/2023 13:34:56,1696512896,-87,-95,149, ac,LSA Screen Control LR ,78-45-58-45-C1-5D,
6394,5/10/2023 13:34:56,1696512896,-85,-95,100, ac,uniwide ,A8-9D-21-5F-4C-9E,
6786,5/10/2023 13:34:56,1696512896,-76,-95,36, ac,HA Staff ,82-45-58-1E-FB-E8,
6941,5/10/2023 13:34:56,1696512896,-92,-95,64, ac,[Hidden SSID] ,08-CC-68-B5-C7-EA,
7051,5/10/2023 13:34:56,1696512896,-87,-95,40, ac,[Hidden SSID] ,8A-45-58-22-19-9E,
7097,5/10/2023 13:34:56,1696512896,-74,-95,108, ac,UNSW Guest ,A0-0F-37-4C-7B-0C,
7147,5/10/2023 13:34:56,1696512896,-79,-96,36, ac,Warrane Staff ,7E-45-58-22-18-F3,
7236,5/10/2023 13:34:56,1696512896,-74,-87,1, b/g/n,Warrane Staff ,78-45-58-21-14-9A,
7383,5/10/2023 13:34:56,1696512896,-78,-95,36, ac,Warrane Staff ,7E-45-58-1E-FB-E8,
7477,5/10/2023 13:34:56,1696512896,-81,-79,11, b/g/n,AT_401_RAC_056905_WW_1ece ,26-E8-53-38-1E-CE,
7506,5/10/2023 13:34:56,1696512896,-88,-82,1, b/g/n,TP-Link_2.4GHz_1FA64E ,14-EB-B6-1F-A6-4E,
7706,5/10/2023 13:34:56,1696512896,-81,-94,100, ac,[Hidden SSID] ,08-CC-68-B4-AF-4B,
7784,5/10/2023 13:34:56,1696512896,-87,-96,52, ac,[Hidden SSID] ,C6-9E-38-70-B4-5F,
7795,5/10/2023 13:34:56,1696512896,-68,-82,6, b/g/n,Warrane Guest ,82-45-58-21-19-9E,
7809,5/10/2023 13:34:56,1696512896,-80,-96,36, ac,HA Staff ,82-45-58-22-18-F3,
7825,5/10/2023 13:34:56,1696512896,-85,-92,132, ac,Superloop-New College ,D8-38-FC-1F-13-6C,
7859,5/10/2023 13:34:56,1696512896,-80,-81,6, g/n,eduroam ,1C-E6-C7-E0-1F-20,
8026,5/10/2023 13:34:56,1696512896,-88,-95,157, ac,eduroam ,1C-E6-C7-5B-89-36,
8474,5/10/2023 13:34:56,1696512896,-72,-83,6, b/g/n,HA Staff ,7E-45-58-21-18-F3,
8568,5/10/2023 13:34:56,1696512896,-87,-95,40, ac,[Hidden SSID] ,8E-45-58-22-19-9E,
8582,5/10/2023 13:34:56,1696512896,-81,-95,100, ac,UNSW Guest ,A8-9D-21-5F-4C-9D,
8687,5/10/2023 13:34:56,1696512896,-81,-96,52, ac,UNSW Guest ,A8-9D-21-5F-51-FC,
8695,5/10/2023 13:34:56,1696512896,-79,-82,1, b/g/n,Warrane Staff ,78-45-58-1D-FB-E8,
8730,5/10/2023 13:34:56,1696512896,-68,-82,6, b/g/n,HA Staff ,7E-45-58-21-19-9E,
8776,5/10/2023 13:34:56,1696512896,-89,-94,44, ac,Global_Students ,A0-0F-37-4C-09-ED,
9077,5/10/2023 13:34:56,1696512896,-87,-95,52, ac,NC Admin ,D8-38-FC-4B-22-EC,
9191,5/10/2023 13:34:56,1696512896,-92,-95,132, ac,[Hidden SSID] ,D0-72-DC-53-63-3A,
9276,5/10/2023 13:34:56,1696512896,-78,-82,6, g/n,[Hidden SSID] ,8A-45-58-1D-F8-FF,
9294,5/10/2023 13:34:56,1696512896,-93,-94,56, ac,[Hidden SSID] ,A8-9D-21-5C-C2-FA,
9307,5/10/2023 13:34:56,1696512896,-79,-82,6, b/g/n,Warrane Staff ,78-45-58-21-00-17,
9316,5/10/2023 13:34:56,1696512896,-73,-82,6, b/g/n,Warrane Guest ,82-45-58-21-18-F3,
9357,5/10/2023 13:34:56,1696512896,-86,-82,6, b/g/n,HA Staff ,7E-45-58-1D-F6-EF,
9397,5/10/2023 13:34:56,1696512896,-87,-82,1, b/g/n,[Hidden SSID] ,86-45-58-21-19-4A,
9486,5/10/2023 13:34:56,1696512896,-60,-80,6, g/n,[Hidden SSID] ,A8-9D-21-5F-51-F4,
9505,5/10/2023 13:34:56,1696512896,-76,-95,108, ac,[Hidden SSID] ,A0-0F-37-4C-7B-0B,
9606,5/10/2023 13:34:56,1696512896,-94,-96,149, a/n,eduroam ,1C-E6-C7-3E-61-CE,
9699,5/10/2023 13:34:56,1696512896,-83,-94,36, ac,Warrane Guest ,86-45-58-1E-FB-E8,
9716,5/10/2023 13:34:56,1696512896,-87,-96,52, ac,SDN-5 ,F2-9E-38-70-B4-5F,
9765,5/10/2023 13:34:56,1696512896,-81,-80,6, g/n,UNSW Guest ,1C-E6-C7-E0-1F-23,
9846,5/10/2023 13:34:56,1696512896,-87,-96,52, ac,SDN-VOICE ,F6-9E-38-70-B4-5F,
10004,5/10/2023 13:34:56,1696512896,-91,-95,64, ac,UNSW Guest ,08-CC-68-B5-C7-EC,
10120,5/10/2023 13:34:56,1696512896,-79,-82,6, g/n,eduroam ,A8-9D-21-5F-4C-90,
10260,5/10/2023 13:34:56,1696512896,-83,-94,161, ac,SDN ,FA-9E-38-70-B8-95,
10302,5/10/2023 13:34:56,1696512896,-85,-95,100, ac,[Hidden SSID] ,08-CC-68-B4-5F-DD,
10355,5/10/2023 13:34:56,1696512896,-84,-95,157, a/n,[Hidden SSID] ,1C-E6-C7-5B-89-3B,
10475,5/10/2023 13:34:56,1696512896,-74,-95,108, ac,[Hidden SSID] ,A0-0F-37-4C-7B-0A,
10587,5/10/2023 13:34:56,1696512896,-78,-82,1, b/g/n,Warrane Staff ,78-45-58-21-0C-E6,
10672,5/10/2023 13:34:56,1696512896,-87,-95,40, ac,uniwide ,08-CC-68-B4-92-2E,
10761,5/10/2023 13:34:56,1696512896,-83,-94,161, ac,WirelessNetwork ,EA-9E-38-70-B8-95,
10896,5/10/2023 13:34:56,1696512896,-89,-95,100, ac,[Hidden SSID] ,08-CC-68-B4-AF-4A,
11123,5/10/2023 13:34:56,1696512896,-80,-94,100, ac,Global_Students ,A8-9D-21-5F-4C-9C,
11219,5/10/2023 13:34:56,1696512896,-79,-82,11, b/g/n,[Hidden SSID] ,26-5A-4C-B5-79-FD,
11229,5/10/2023 13:34:56,1696512896,-81,-96,52, ac,Global_Students ,A8-9D-21-5F-51-FD,
11244,5/10/2023 13:34:56,1696512896,-72,-83,1, g/n,Global_Students ,A0-0F-37-4C-7B-02,
11255,5/10/2023 13:34:56,1696512896,-92,-95,64, ac,[Hidden SSID] ,1C-E6-C7-3E-60-C3,
11374,5/10/2023 13:34:56,1696512896,-90,-94,44, ac,UNSW Guest ,A0-0F-37-4C-09-EC,
11526,5/10/2023 13:34:56,1696512896,-83,-95,40, ac,Yarraton-RS ,FA-92-BF-CE-73-0E,
11707,5/10/2023 13:34:56,1696512896,-80,-93,165, a/n,Guest-Shalom ,E0-10-7F-9C-3E-EC,
11731,5/10/2023 13:34:56,1696512896,-80,-95,52, ac,[Hidden SSID] ,A8-9D-21-5F-51-FA,
11861,5/10/2023 13:34:56,1696512896,-77,-81,11, b/g/n,Warrane Staff ,78-45-58-1D-F3-9F,
12045,5/10/2023 13:34:56,1696512896,-92,-95,64, ac,[Hidden SSID] ,1C-E6-C7-3E-60-C2,
12115,5/10/2023 13:34:56,1696512896,-81,-95,100, ac,eduroam ,A8-9D-21-5F-4C-9F,
12158,5/10/2023 13:34:56,1696512896,-87,-95,40, ac,Warrane Guest ,86-45-58-22-19-9E,
12182,5/10/2023 13:34:56,1696512896,-76,-94,40, ac,Warrane Guest ,26-5A-4C-B5-79-FE,
12238,5/10/2023 13:34:56,1696512896,-86,-82,6, g/n,[Hidden SSID] ,8A-45-58-1D-EA-02,
12245,5/10/2023 13:34:56,1696512896,-88,-82,1, g/n,UNSW Guest ,08-CC-68-B4-92-23,
12261,5/10/2023 13:34:56,1696512896,-91,-94,40, ac,Warrane Staff ,7E-45-58-1E-F4-AE,
12271,5/10/2023 13:34:56,1696512896,-79,-82,1, ac,WirelessNetwork ,EA-9E-28-70-B8-95,
12291,5/10/2023 13:34:56,1696512896,-91,-95,56, ac,UNSW Guest ,A8-9D-21-5C-C2-FC,
12298,5/10/2023 13:34:56,1696512896,-93,-93,40, ac,eduroam ,08-CC-68-B4-AC-FF,
12551,5/10/2023 13:34:56,1696512896,-78,-82,6, b/g/n,Warrane Guest ,82-45-58-1D-F8-FF,
12640,5/10/2023 13:34:56,1696512896,-91,-96,157, a/n,UNSW Guest ,1C-E6-C7-5B-89-3C,
12663,5/10/2023 13:34:56,1696512896,-81,-94,100, ac,Global_Students ,08-CC-68-B4-AF-4D,
12677,5/10/2023 13:34:56,1696512896,-91,-93,36, ac,uniwide ,08-CC-68-B4-54-CE,
12969,5/10/2023 13:34:56,1696512896,-91,-95,64, a/n,eduroam ,1C-E6-C7-3E-60-CE,
13027,5/10/2023 13:34:56,1696512896,-74,-95,108, ac,Global_Students ,A0-0F-37-4C-7B-0D,
13056,5/10/2023 13:34:56,1696512896,-73,-82,6, g/n,Global_Students ,A8-9D-21-5F-51-F2,
13279,5/10/2023 13:34:56,1696512896,-83,-82,6, ac,SDN ,F8-9E-28-70-B4-5F,
13487,5/10/2023 13:34:56,1696512896,-77,-80,6, b/g/n,Warrane Staff ,78-45-58-1D-F4-AE,
13775,5/10/2023 13:34:56,1696512896,-79,-96,36, ac,Warrane Guest ,86-45-58-22-18-F3,
13823,5/10/2023 13:34:56,1696512896,-82,-95,40, ac,HA Staff ,FE-92-BF-CE-73-0E,
13833,5/10/2023 13:34:56,1696512896,-87,-94,44, ac,[Hidden SSID] ,A0-0F-37-4C-09-EB,
13896,5/10/2023 13:34:56,1696512896,-87,-95,157, ac,UNSW Guest ,1C-E6-C7-5B-89-34,
14022,5/10/2023 13:34:56,1696512896,-78,-82,6, b/g/n,HA Staff ,7E-45-58-1D-F8-FF,
14089,5/10/2023 13:34:56,1696512896,-79,-80,6, b/g/n,Warrane Guest ,82-45-58-1D-F4-AE,
14115,5/10/2023 13:34:56,1696512896,-93,-95,64, ac,uniwide ,08-CC-68-B5-C7-EE,
14119,5/10/2023 13:34:56,1696512896,-79,-82,1, ac,[Hidden SSID] ,C6-9E-28-70-B8-95,
14124,5/10/2023 13:34:56,1696512896,-90,-82,1, b/g/n,HA Staff ,7E-45-58-21-05-D4,
14260,5/10/2023 13:34:56,1696512896,-85,-81,6, b/g/n,Yarraton-RS ,78-45-58-1D-F6-EF,
14355,5/10/2023 13:34:56,1696512896,-80,-84,11, g/n,[Hidden SSID] ,8A-45-58-21-19-D9,
14362,5/10/2023 13:34:56,1696512896,-75,-95,40, ac,Warrane Guest ,86-45-58-22-00-17,
14405,5/10/2023 13:34:56,1696512896,-76,-94,40, ac,[Hidden SSID] ,24-5A-4C-95-79-FE,
14448,5/10/2023 13:34:56,1696512896,-82,-82,1, b/g/n,[Hidden SSID] ,86-45-58-21-0C-E6,
14608,5/10/2023 13:34:56,1696512896,-79,-95,52, ac,uniwide ,A8-9D-21-5F-51-FF,
14616,5/10/2023 13:34:56,1696512896,-65,-83,1, g/n,uniwide ,A0-0F-37-4C-7B-00,
14665,5/10/2023 13:34:56,1696512896,-91,-95,48, ac,Warrane Staff ,7E-45-58-22-0C-E6,
14684,5/10/2023 13:34:56,1696512896,-94,-96,149, a/n,UNSW Guest ,1C-E6-C7-3E-61-CC,
14890,5/10/2023 13:34:56,1696512896,-92,-95,64, ac,uniwide ,D0-72-DC-53-63-FF,
14965,5/10/2023 13:34:56,1696512896,-78,-95,100, ac,[Hidden SSID] ,A8-9D-21-5F-4C-9A,
15223,5/10/2023 13:34:56,1696512896,-83,-82,1, b/g/n,Warrane Guest ,82-45-58-21-05-D4,
15371,5/10/2023 13:34:56,1696512896,-72,-83,11, b/g/n,Warrane Staff ,24-5A-4C-95-79-FD,
15387,5/10/2023 13:34:56,1696512896,-90,-95,48, ac,[Hidden SSID] ,8A-45-58-22-0C-E6,
15389,5/10/2023 13:34:56,1696512896,-79,-82,6, g/n,[Hidden SSID] ,8A-45-58-21-00-17,
15483,5/10/2023 13:34:56,1696512896,-76,-82,6, b/g/n,Warrane Staff ,78-45-58-1D-F8-FF,
15539,5/10/2023 13:34:56,1696512896,-90,-82,1, b/g/n,Yarraton-RS ,F4-92-BF-CD-73-0E,
15688,5/10/2023 13:34:56,1696512896,-89,-94,44, ac,eduroam ,A0-0F-37-4C-09-EE,
15840,5/10/2023 13:34:56,1696512896,-73,-83,6, g/n,eduroam ,A8-9D-21-5F-51-F1,
16069,5/10/2023 13:34:56,1696512896,-77,-81,3, ax,[Hidden SSID] ,94-A6-7E-50-F6-AB,
16114,5/10/2023 13:34:56,1696512896,-92,-95,56, ac,[Hidden SSID] ,A8-9D-21-5C-C2-FD,
16237,5/10/2023 13:34:56,1696512896,-82,-82,1, g/n,[Hidden SSID] ,8A-45-58-1D-FB-E8,
16287,5/10/2023 13:34:56,1696512896,-83,-94,161, ac,SDN-Staff ,FE-9E-38-70-B8-95,
16293,5/10/2023 13:34:56,1696512896,-79,-93,165, a/n,Superloop-ShalomCollege ,E0-10-7F-1C-3E-ED,
16319,5/10/2023 13:34:56,1696512896,-86,-83,11, b/g/n,AT_401_RAC_056905_WW_f973 ,DE-03-98-6C-F9-73,
16415,5/10/2023 13:34:56,1696512896,-90,-94,40, ac,[Hidden SSID] ,8A-45-58-1E-F8-FF,
16456,5/10/2023 13:34:56,1696512896,-74,-82,6, g/n,[Hidden SSID] ,8A-45-58-21-14-96,
16504,5/10/2023 13:34:56,1696512896,-91,-92,132, ac,eduroam ,D0-72-DC-53-63-3E,
16573,5/10/2023 13:34:56,1696512896,-91,-95,56, ac,uniwide ,A8-9D-21-5C-C2-FE,
16690,5/10/2023 13:34:56,1696512896,-72,-84,11, b/g/n,Warrane Guest ,26-5A-4C-A5-79-FD,
16758,5/10/2023 13:34:56,1696512896,-89,-96,157, a/n,eduroam ,1C-E6-C7-5B-89-3E,
16897,5/10/2023 13:34:56,1696512896,-89,-94,40, ac,Warrane Guest ,86-45-58-22-14-9A,
16902,5/10/2023 13:34:56,1696512896,-83,-80,6, g/n,Global_Students ,A8-9D-21-5F-4C-93,
16929,5/10/2023 13:34:56,1696512896,-76,-94,108, ac,uniwide ,A0-0F-37-4C-7B-0F,
16955,5/10/2023 13:34:56,1696512896,-73,-83,6, g/n,uniwide ,A8-9D-21-5F-51-F0,
16977,5/10/2023 13:34:56,1696512896,-93,-95,149, ac,uniwide ,08-CC-68-B4-52-2E,
17027,5/10/2023 13:34:56,1696512896,-80,-82,1, b/g/n,Warrane Guest ,82-45-58-21-0C-E6,
17093,5/10/2023 13:34:56,1696512896,-92,-95,64, ac,UNSW Guest ,1C-E6-C7-3E-60-C4,
17168,5/10/2023 13:34:56,1696512896,-88,-82,1, g/n,[Hidden SSID] ,02-92-BF-CD-73-0E,
17525,5/10/2023 13:34:56,1696512896,-82,-81,1, b/g/n,[Hidden SSID] ,FE-92-BF-CD-73-0E,
17773,5/10/2023 13:34:56,1696512896,-91,-95,40, ac,[Hidden SSID] ,8E-45-58-1E-F8-FF,
17789,5/10/2023 13:34:56,1696512896,-88,-95,157, ac,[Hidden SSID] ,1C-E6-C7-5B-89-32,
17824,5/10/2023 13:34:56,1696512896,-91,-95,48, ac,HA Staff ,82-45-58-22-0C-E6,
18069,5/10/2023 13:34:56,1696512896,-86,-95,52, ac,_Superloop-NewCollege5Ghz ,D8-38-FC-CB-22-EC,
18072,5/10/2023 13:34:56,1696512896,-82,-93,48, ac,Warrane Guest ,86-45-58-22-14-96,
18175,5/10/2023 13:34:56,1696512896,-74,-80,1, g/n,eduroam ,A0-0F-37-4C-7B-01,
18195,5/10/2023 13:34:56,1696512896,-86,-86,1, g/n,[Hidden SSID] ,8A-45-58-21-05-35,
18276,5/10/2023 13:34:56,1696512896,-89,-96,36, ac,Warrane Guest ,86-45-58-1E-EA-02,
18297,5/10/2023 13:34:56,1696512896,-76,-94,40, ac,Warrane Staff ,26-5A-4C-95-79-FE,
18465,5/10/2023 13:34:56,1696512896,-77,-82,1, b/g/n,HA Staff ,7E-45-58-21-0C-E6,
18514,5/10/2023 13:34:56,1696512896,-88,-95,100, ac,uniwide ,08-CC-68-B4-AF-4F,
18729,5/10/2023 13:34:56,1696512896,-91,-95,48, ac,[Hidden SSID] ,8E-45-58-22-0C-E6,
164,5/10/2023 13:35:26,1696512926,-71,-82,1, g/n,uniwide ,A8-9D-21-5C-C2-F1,
321,5/10/2023 13:35:26,1696512926,-72,-83,6, b/g/n,Warrane Staff ,78-45-58-21-18-F3,
438,5/10/2023 13:35:26,1696512926,-86,-95,40, ac,HA Staff ,82-45-58-1E-FF-F6,
519,5/10/2023 13:35:26,1696512926,-89,-95,40, ac,Warrane Staff ,7E-45-58-22-14-9A,
538,5/10/2023 13:35:26,1696512926,-84,-93,157, ac,Global_Students ,1C-E6-C7-5B-89-35,
727,5/10/2023 13:35:26,1696512926,-79,-78,1, b/g/n,Warrane Guest ,82-45-58-21-19-76,
785,5/10/2023 13:35:26,1696512926,-85,-78,1, b/g/n,Warrane Guest ,82-45-58-1D-FB-E8,
827,5/10/2023 13:35:26,1696512926,-88,-92,40, ac,[Hidden SSID] ,8E-45-58-1E-FF-F6,
838,5/10/2023 13:35:26,1696512926,-74,-81,6, g/n,UNSW Guest ,A8-9D-21-5F-51-F3,
910,5/10/2023 13:35:26,1696512926,-92,-95,48, ac,Warrane Staff ,7E-45-58-1E-FE-05,
916,5/10/2023 13:35:26,1696512926,-88,-93,153, ac,_Superloop-NewCollege5Ghz ,D8-38-FC-48-DD-CC,
960,5/10/2023 13:35:26,1696512926,-89,-95,100, ac,eduroam ,08-CC-68-B4-AF-4E,
1329,5/10/2023 13:35:26,1696512926,-90,-95,132, ac,uniwide ,D0-72-DC-53-63-3F,
1341,5/10/2023 13:35:26,1696512926,-81,-92,40, ac,Warrane Guest ,86-45-58-22-05-D4,
1355,5/10/2023 13:35:26,1696512926,-93,-94,64, a/n,Global_Students ,1C-E6-C7-3E-60-CD,
1375,5/10/2023 13:35:26,1696512926,-88,-95,56, ac,Global_Students ,A8-9D-21-5C-C2-FB,
1471,5/10/2023 13:35:26,1696512926,-79,-84,11, b/g/n,Warrane Guest ,82-45-58-21-19-D9,
1622,5/10/2023 13:35:26,1696512926,-94,-95,56, ac,eduroam ,A8-9D-21-5C-C2-FF,
1713,5/10/2023 13:35:26,1696512926,-86,-93,157, a/n,uniwide ,1C-E6-C7-5B-89-3F,
1758,5/10/2023 13:35:26,1696512926,-90,-95,149, ac,Global_Students ,08-CC-68-B4-52-2B,
1816,5/10/2023 13:35:26,1696512926,-83,-93,48, ac,Warrane Staff ,7E-45-58-22-14-96,
1823,5/10/2023 13:35:26,1696512926,-93,-95,48, ac,[Hidden SSID] ,8A-45-58-1E-FE-05,
1875,5/10/2023 13:35:26,1696512926,-52,-95,108, ac,eduroam ,A0-0F-37-4C-7B-0E,
1923,5/10/2023 13:35:26,1696512926,-84,-78,1, b/g/n,HA Staff ,7E-45-58-1D-FB-E8,
2045,5/10/2023 13:35:26,1696512926,-76,-78,1, b/g/n,HA Staff ,7E-45-58-21-19-76,
2086,5/10/2023 13:35:26,1696512926,-68,-78,11, b/g/n,HA Staff ,26-5A-4C-95-79-FD,
2291,5/10/2023 13:35:26,1696512926,-91,-95,100, ac,eduroam ,08-CC-68-B4-58-1F,
2563,5/10/2023 13:35:26,1696512926,-65,-79,1, g/n,UNSW Guest ,A0-0F-37-4C-7B-03,
2589,5/10/2023 13:35:26,1696512926,-83,-81,6, b/g/n,HA Staff ,7E-45-58-21-14-96,
2753,5/10/2023 13:35:26,1696512926,-81,-95,40, ac,Warrane Guest ,86-45-58-1E-F8-FF,
2830,5/10/2023 13:35:26,1696512926,-91,-96,144, ax,WiFi-9RUE3 ,D8-33-B7-E3-29-97,
2881,5/10/2023 13:35:26,1696512926,-84,-94,44, ac,uniwide ,A0-0F-37-4C-09-EF,
3080,5/10/2023 13:35:26,1696512926,-92,-95,40, ac,[Hidden SSID] ,8A-45-58-22-19-D9,
3151,5/10/2023 13:35:26,1696512926,-75,-80,3, ax,ANFF_STAFF2 ,9A-A6-7E-50-F6-AB,
3215,5/10/2023 13:35:26,1696512926,-87,-94,132, ac,NC Admin ,D8-38-FC-5F-13-6C,
3304,5/10/2023 13:35:26,1696512926,-83,-93,48, ac,HA Staff ,82-45-58-22-14-96,
3346,5/10/2023 13:35:26,1696512926,-76,-94,40, ac,HA Staff ,26-5A-4C-A5-79-FE,
3375,5/10/2023 13:35:26,1696512926,-90,-95,100, ac,[Hidden SSID] ,08-CC-68-B4-5F-DA,
3476,5/10/2023 13:35:26,1696512926,-80,-78,1, b/g/n,HA Staff ,7E-45-58-21-06-91,
3646,5/10/2023 13:35:26,1696512926,-83,-86,1, b/g/n,Warrane Guest ,82-45-58-21-05-35,
3716,5/10/2023 13:35:26,1696512926,-89,-95,40, ac,[Hidden SSID] ,8E-45-58-22-14-9A,
3739,5/10/2023 13:35:26,1696512926,-83,-94,44, ac,[Hidden SSID] ,8A-45-58-22-19-76,
3788,5/10/2023 13:35:26,1696512926,-91,-95,40, ac,Warrane Staff ,7E-45-58-22-19-D9,
3915,5/10/2023 13:35:26,1696512926,-86,-95,52, ac,Superloop-New College ,D8-38-FC-0B-22-EC,
3944,5/10/2023 13:35:26,1696512926,-83,-78,3, g/n,Superloop-New College ,D8-38-FC-0B-22-E8,
3977,5/10/2023 13:35:26,1696512926,-92,-95,48, ac,HA Staff ,82-45-58-1E-FE-05,
3979,5/10/2023 13:35:26,1696512926,-87,-93,153, ac,Superloop-New College ,D8-38-FC-88-DD-CC,
4123,5/10/2023 13:35:26,1696512926,-88,-95,60, a/n,[Hidden SSID] ,88-DC-96-03-47-70,
4139,5/10/2023 13:35:26,1696512926,-82,-81,6, b/g/n,Warrane Guest ,82-45-58-21-14-96,
4155,5/10/2023 13:35:26,1696512926,-77,-95,52, ac,eduroam ,A8-9D-21-5F-51-FE,
4338,5/10/2023 13:35:26,1696512926,-82,-78,6, b/g/n,Cafe@new ,F4-92-BF-CD-75-1E,
4411,5/10/2023 13:35:26,1696512926,-92,-95,48, ac,[Hidden SSID] ,8E-45-58-1E-FE-05,
4471,5/10/2023 13:35:26,1696512926,-91,-94,64, ac,eduroam ,1C-E6-C7-3E-60-C6,
4480,5/10/2023 13:35:26,1696512926,-90,-95,40, ac,HA Staff ,82-45-58-22-14-9A,
4482,5/10/2023 13:35:26,1696512926,-84,-86,1, b/g/n,HA Staff ,7E-45-58-21-05-35,
4504,5/10/2023 13:35:26,1696512926,-71,-82,1, g/n,eduroam ,A8-9D-21-5C-C2-F0,
4549,5/10/2023 13:35:26,1696512926,-78,-79,1, b/g/n,Warrane Guest ,82-45-58-21-06-91,
4596,5/10/2023 13:35:26,1696512926,-82,-94,100, ac,[Hidden SSID] ,A8-9D-21-5F-4C-9B,
